metric_date,run_id,city,pollutant,total_records,null_rate,duplicate_rate,stale_rate,outlier_rate,flagged_rate,rejected_rate,pass_rate,quality_status
2024-08-07,run_4168eefe,apba,o3,473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-18,run_4168eefe,apba,o3,485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-25,run_4168eefe,apba,o3,498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-08-27,run_4168eefe,apba,o3,474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-08,run_4168eefe,apba,o3,207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-13,run_4168eefe,apba,o3,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-17,run_4168eefe,apba,o3,231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-23,run_4168eefe,apba,o3,244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-09-29,run_4168eefe,apba,o3,103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-01,run_4168eefe,apba,o3,118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-11,run_4168eefe,apba,o3,223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-18,run_4168eefe,apba,o3,189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-29,run_4168eefe,apba,o3,226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-10-30,run_4168eefe,apba,o3,191,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-20,run_4168eefe,apba,o3,67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-11-30,run_4168eefe,apba,o3,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-26,run_4168eefe,apba,o3,126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-30,run_4168eefe,apba,o3,227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-12-31,run_4168eefe,apba,o3,205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-07,run_4168eefe,apba,o3,190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2025-01-14,run_4168eefe,apba,o3,220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-01,run_4168eefe,apba,so2,879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-06,run_4168eefe,apba,so2,878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-29,run_4168eefe,apba,so2,1518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-12,run_4168eefe,apba,so2,862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-13,run_4168eefe,apba,so2,856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-20,run_4168eefe,apba,so2,1049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-07,run_4168eefe,apba,so2,1016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-08,run_4168eefe,apba,so2,1121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-25,run_4168eefe,apba,so2,1048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-26,run_4168eefe,apba,so2,1107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-29,run_4168eefe,apba,so2,1006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-02,run_4168eefe,apba,so2,1047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-11,run_4168eefe,apba,so2,1045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-22,run_4168eefe,apba,so2,1015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-01,run_4168eefe,apba,so2,989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-05,run_4168eefe,apba,so2,922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-06,run_4168eefe,apba,so2,1026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-15,run_4168eefe,apba,so2,998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-28,run_4168eefe,apba,so2,1079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-03,run_4168eefe,apba,so2,1083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-09,run_4168eefe,apba,so2,876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-12,run_4168eefe,apba,so2,1003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-25,run_4168eefe,apba,so2,1048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-27,run_4168eefe,apba,so2,1079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-11,run_4168eefe,apba,so2,1111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-02-24,run_4168eefe,apba,so2,1059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-03,run_4168eefe,apba,so2,1019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-11,run_4168eefe,apba,so2,1123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-15,run_4168eefe,apba,so2,1150,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-17,run_4168eefe,apba,so2,1164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-25,run_4168eefe,apba,so2,1039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-03-27,run_4168eefe,apba,so2,999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-11,run_4168eefe,apba,so2,1062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-12,run_4168eefe,apba,so2,1073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-20,run_4168eefe,apba,so2,1046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-04-26,run_4168eefe,apba,so2,977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-05-03,run_4168eefe,apba,so2,1049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-09,run_4168eefe,apba,so2,1053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-06-26,run_4168eefe,apba,so2,1055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-11,run_4168eefe,apba,so2,1064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-17,run_4168eefe,apba,so2,1022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-19,run_4168eefe,apba,so2,967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-28,run_4168eefe,apba,so2,1003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-07-30,run_4168eefe,apba,so2,943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
